Date,DateKey,Year,Quarter,Month,Day,MonthInYear,MonthInYearSort,DayOfWeek,DayOfWeekSort
1/1/2020,20200101,2020,2020-Q1,2020-01,1,January,1,Wednesday,4
1/2/2020,20200102,2020,2020-Q1,2020-01,2,January,1,Thursday,5
1/3/2020,20200103,2020,2020-Q1,2020-01,3,January,1,Friday,6
1/4/2020,20200104,2020,2020-Q1,2020-01,4,January,1,Saturday,7
1/5/2020,20200105,2020,2020-Q1,2020-01,5,January,1,Sunday,1
1/6/2020,20200106,2020,2020-Q1,2020-01,6,January,1,Monday,2
1/7/2020,20200107,2020,2020-Q1,2020-01,7,January,1,Tuesday,3
1/8/2020,20200108,2020,2020-Q1,2020-01,8,January,1,Wednesday,4
1/9/2020,20200109,2020,2020-Q1,2020-01,9,January,1,Thursday,5
1/10/2020,20200110,2020,2020-Q1,2020-01,10,January,1,Friday,6
1/11/2020,20200111,2020,2020-Q1,2020-01,11,January,1,Saturday,7
1/12/2020,20200112,2020,2020-Q1,2020-01,12,January,1,Sunday,1
1/13/2020,20200113,2020,2020-Q1,2020-01,13,January,1,Monday,2
1/14/2020,20200114,2020,2020-Q1,2020-01,14,January,1,Tuesday,3
1/15/2020,20200115,2020,2020-Q1,2020-01,15,January,1,Wednesday,4
1/16/2020,20200116,2020,2020-Q1,2020-01,16,January,1,Thursday,5
1/17/2020,20200117,2020,2020-Q1,2020-01,17,January,1,Friday,6
1/18/2020,20200118,2020,2020-Q1,2020-01,18,January,1,Saturday,7
1/19/2020,20200119,2020,2020-Q1,2020-01,19,January,1,Sunday,1
1/20/2020,20200120,2020,2020-Q1,2020-01,20,January,1,Monday,2
1/21/2020,20200121,2020,2020-Q1,2020-01,21,January,1,Tuesday,3
1/22/2020,20200122,2020,2020-Q1,2020-01,22,January,1,Wednesday,4
1/23/2020,20200123,2020,2020-Q1,2020-01,23,January,1,Thursday,5
1/24/2020,20200124,2020,2020-Q1,2020-01,24,January,1,Friday,6
1/25/2020,20200125,2020,2020-Q1,2020-01,25,January,1,Saturday,7
1/26/2020,20200126,2020,2020-Q1,2020-01,26,January,1,Sunday,1
1/27/2020,20200127,2020,2020-Q1,2020-01,27,January,1,Monday,2
1/28/2020,20200128,2020,2020-Q1,2020-01,28,January,1,Tuesday,3
1/29/2020,20200129,2020,2020-Q1,2020-01,29,January,1,Wednesday,4
1/30/2020,20200130,2020,2020-Q1,2020-01,30,January,1,Thursday,5
1/31/2020,20200131,2020,2020-Q1,2020-01,31,January,1,Friday,6
2/1/2020,20200201,2020,2020-Q1,2020-02,1,February,2,Saturday,7
2/2/2020,20200202,2020,2020-Q1,2020-02,2,February,2,Sunday,1
2/3/2020,20200203,2020,2020-Q1,2020-02,3,February,2,Monday,2
2/4/2020,20200204,2020,2020-Q1,2020-02,4,February,2,Tuesday,3
2/5/2020,20200205,2020,2020-Q1,2020-02,5,February,2,Wednesday,4
2/6/2020,20200206,2020,2020-Q1,2020-02,6,February,2,Thursday,5
2/7/2020,20200207,2020,2020-Q1,2020-02,7,February,2,Friday,6
2/8/2020,20200208,2020,2020-Q1,2020-02,8,February,2,Saturday,7
2/9/2020,20200209,2020,2020-Q1,2020-02,9,February,2,Sunday,1
2/10/2020,20200210,2020,2020-Q1,2020-02,10,February,2,Monday,2
2/11/2020,20200211,2020,2020-Q1,2020-02,11,February,2,Tuesday,3
2/12/2020,20200212,2020,2020-Q1,2020-02,12,February,2,Wednesday,4
2/13/2020,20200213,2020,2020-Q1,2020-02,13,February,2,Thursday,5
2/14/2020,20200214,2020,2020-Q1,2020-02,14,February,2,Friday,6
2/15/2020,20200215,2020,2020-Q1,2020-02,15,February,2,Saturday,7
2/16/2020,20200216,2020,2020-Q1,2020-02,16,February,2,Sunday,1
2/17/2020,20200217,2020,2020-Q1,2020-02,17,February,2,Monday,2
2/18/2020,20200218,2020,2020-Q1,2020-02,18,February,2,Tuesday,3
2/19/2020,20200219,2020,2020-Q1,2020-02,19,February,2,Wednesday,4
2/20/2020,20200220,2020,2020-Q1,2020-02,20,February,2,Thursday,5
2/21/2020,20200221,2020,2020-Q1,2020-02,21,February,2,Friday,6
2/22/2020,20200222,2020,2020-Q1,2020-02,22,February,2,Saturday,7
2/23/2020,20200223,2020,2020-Q1,2020-02,23,February,2,Sunday,1
2/24/2020,20200224,2020,2020-Q1,2020-02,24,February,2,Monday,2
2/25/2020,20200225,2020,2020-Q1,2020-02,25,February,2,Tuesday,3
2/26/2020,20200226,2020,2020-Q1,2020-02,26,February,2,Wednesday,4
2/27/2020,20200227,2020,2020-Q1,2020-02,27,February,2,Thursday,5
2/28/2020,20200228,2020,2020-Q1,2020-02,28,February,2,Friday,6
2/29/2020,20200229,2020,2020-Q1,2020-02,29,February,2,Saturday,7
3/1/2020,20200301,2020,2020-Q1,2020-03,1,March,3,Sunday,1
3/2/2020,20200302,2020,2020-Q1,2020-03,2,March,3,Monday,2
3/3/2020,20200303,2020,2020-Q1,2020-03,3,March,3,Tuesday,3
3/4/2020,20200304,2020,2020-Q1,2020-03,4,March,3,Wednesday,4
3/5/2020,20200305,2020,2020-Q1,2020-03,5,March,3,Thursday,5
3/6/2020,20200306,2020,2020-Q1,2020-03,6,March,3,Friday,6
3/7/2020,20200307,2020,2020-Q1,2020-03,7,March,3,Saturday,7
3/8/2020,20200308,2020,2020-Q1,2020-03,8,March,3,Sunday,1
3/9/2020,20200309,2020,2020-Q1,2020-03,9,March,3,Monday,2
3/10/2020,20200310,2020,2020-Q1,2020-03,10,March,3,Tuesday,3
3/11/2020,20200311,2020,2020-Q1,2020-03,11,March,3,Wednesday,4
3/12/2020,20200312,2020,2020-Q1,2020-03,12,March,3,Thursday,5
3/13/2020,20200313,2020,2020-Q1,2020-03,13,March,3,Friday,6
3/14/2020,20200314,2020,2020-Q1,2020-03,14,March,3,Saturday,7
3/15/2020,20200315,2020,2020-Q1,2020-03,15,March,3,Sunday,1
3/16/2020,20200316,2020,2020-Q1,2020-03,16,March,3,Monday,2
3/17/2020,20200317,2020,2020-Q1,2020-03,17,March,3,Tuesday,3
3/18/2020,20200318,2020,2020-Q1,2020-03,18,March,3,Wednesday,4
3/19/2020,20200319,2020,2020-Q1,2020-03,19,March,3,Thursday,5
3/20/2020,20200320,2020,2020-Q1,2020-03,20,March,3,Friday,6
3/21/2020,20200321,2020,2020-Q1,2020-03,21,March,3,Saturday,7
3/22/2020,20200322,2020,2020-Q1,2020-03,22,March,3,Sunday,1
3/23/2020,20200323,2020,2020-Q1,2020-03,23,March,3,Monday,2
3/24/2020,20200324,2020,2020-Q1,2020-03,24,March,3,Tuesday,3
3/25/2020,20200325,2020,2020-Q1,2020-03,25,March,3,Wednesday,4
3/26/2020,20200326,2020,2020-Q1,2020-03,26,March,3,Thursday,5
3/27/2020,20200327,2020,2020-Q1,2020-03,27,March,3,Friday,6
3/28/2020,20200328,2020,2020-Q1,2020-03,28,March,3,Saturday,7
3/29/2020,20200329,2020,2020-Q1,2020-03,29,March,3,Sunday,1
3/30/2020,20200330,2020,2020-Q1,2020-03,30,March,3,Monday,2
3/31/2020,20200331,2020,2020-Q1,2020-03,31,March,3,Tuesday,3
4/1/2020,20200401,2020,2020-Q2,2020-04,1,April,4,Wednesday,4
4/2/2020,20200402,2020,2020-Q2,2020-04,2,April,4,Thursday,5
4/3/2020,20200403,2020,2020-Q2,2020-04,3,April,4,Friday,6
4/4/2020,20200404,2020,2020-Q2,2020-04,4,April,4,Saturday,7
4/5/2020,20200405,2020,2020-Q2,2020-04,5,April,4,Sunday,1
4/6/2020,20200406,2020,2020-Q2,2020-04,6,April,4,Monday,2
4/7/2020,20200407,2020,2020-Q2,2020-04,7,April,4,Tuesday,3
4/8/2020,20200408,2020,2020-Q2,2020-04,8,April,4,Wednesday,4
4/9/2020,20200409,2020,2020-Q2,2020-04,9,April,4,Thursday,5
4/10/2020,20200410,2020,2020-Q2,2020-04,10,April,4,Friday,6
4/11/2020,20200411,2020,2020-Q2,2020-04,11,April,4,Saturday,7
4/12/2020,20200412,2020,2020-Q2,2020-04,12,April,4,Sunday,1
4/13/2020,20200413,2020,2020-Q2,2020-04,13,April,4,Monday,2
4/14/2020,20200414,2020,2020-Q2,2020-04,14,April,4,Tuesday,3
4/15/2020,20200415,2020,2020-Q2,2020-04,15,April,4,Wednesday,4
4/16/2020,20200416,2020,2020-Q2,2020-04,16,April,4,Thursday,5
4/17/2020,20200417,2020,2020-Q2,2020-04,17,April,4,Friday,6
4/18/2020,20200418,2020,2020-Q2,2020-04,18,April,4,Saturday,7
4/19/2020,20200419,2020,2020-Q2,2020-04,19,April,4,Sunday,1
4/20/2020,20200420,2020,2020-Q2,2020-04,20,April,4,Monday,2
4/21/2020,20200421,2020,2020-Q2,2020-04,21,April,4,Tuesday,3
4/22/2020,20200422,2020,2020-Q2,2020-04,22,April,4,Wednesday,4
4/23/2020,20200423,2020,2020-Q2,2020-04,23,April,4,Thursday,5
4/24/2020,20200424,2020,2020-Q2,2020-04,24,April,4,Friday,6
4/25/2020,20200425,2020,2020-Q2,2020-04,25,April,4,Saturday,7
4/26/2020,20200426,2020,2020-Q2,2020-04,26,April,4,Sunday,1
4/27/2020,20200427,2020,2020-Q2,2020-04,27,April,4,Monday,2
4/28/2020,20200428,2020,2020-Q2,2020-04,28,April,4,Tuesday,3
4/29/2020,20200429,2020,2020-Q2,2020-04,29,April,4,Wednesday,4
4/30/2020,20200430,2020,2020-Q2,2020-04,30,April,4,Thursday,5
5/1/2020,20200501,2020,2020-Q2,2020-05,1,May,5,Friday,6
5/2/2020,20200502,2020,2020-Q2,2020-05,2,May,5,Saturday,7
5/3/2020,20200503,2020,2020-Q2,2020-05,3,May,5,Sunday,1
5/4/2020,20200504,2020,2020-Q2,2020-05,4,May,5,Monday,2
5/5/2020,20200505,2020,2020-Q2,2020-05,5,May,5,Tuesday,3
5/6/2020,20200506,2020,2020-Q2,2020-05,6,May,5,Wednesday,4
5/7/2020,20200507,2020,2020-Q2,2020-05,7,May,5,Thursday,5
5/8/2020,20200508,2020,2020-Q2,2020-05,8,May,5,Friday,6
5/9/2020,20200509,2020,2020-Q2,2020-05,9,May,5,Saturday,7
5/10/2020,20200510,2020,2020-Q2,2020-05,10,May,5,Sunday,1
5/11/2020,20200511,2020,2020-Q2,2020-05,11,May,5,Monday,2
5/12/2020,20200512,2020,2020-Q2,2020-05,12,May,5,Tuesday,3
5/13/2020,20200513,2020,2020-Q2,2020-05,13,May,5,Wednesday,4
5/14/2020,20200514,2020,2020-Q2,2020-05,14,May,5,Thursday,5
5/15/2020,20200515,2020,2020-Q2,2020-05,15,May,5,Friday,6
5/16/2020,20200516,2020,2020-Q2,2020-05,16,May,5,Saturday,7
5/17/2020,20200517,2020,2020-Q2,2020-05,17,May,5,Sunday,1
5/18/2020,20200518,2020,2020-Q2,2020-05,18,May,5,Monday,2
5/19/2020,20200519,2020,2020-Q2,2020-05,19,May,5,Tuesday,3
5/20/2020,20200520,2020,2020-Q2,2020-05,20,May,5,Wednesday,4
5/21/2020,20200521,2020,2020-Q2,2020-05,21,May,5,Thursday,5
5/22/2020,20200522,2020,2020-Q2,2020-05,22,May,5,Friday,6
5/23/2020,20200523,2020,2020-Q2,2020-05,23,May,5,Saturday,7
5/24/2020,20200524,2020,2020-Q2,2020-05,24,May,5,Sunday,1
5/25/2020,20200525,2020,2020-Q2,2020-05,25,May,5,Monday,2
5/26/2020,20200526,2020,2020-Q2,2020-05,26,May,5,Tuesday,3
5/27/2020,20200527,2020,2020-Q2,2020-05,27,May,5,Wednesday,4
5/28/2020,20200528,2020,2020-Q2,2020-05,28,May,5,Thursday,5
5/29/2020,20200529,2020,2020-Q2,2020-05,29,May,5,Friday,6
5/30/2020,20200530,2020,2020-Q2,2020-05,30,May,5,Saturday,7
5/31/2020,20200531,2020,2020-Q2,2020-05,31,May,5,Sunday,1
6/1/2020,20200601,2020,2020-Q2,2020-06,1,June,6,Monday,2
6/2/2020,20200602,2020,2020-Q2,2020-06,2,June,6,Tuesday,3
6/3/2020,20200603,2020,2020-Q2,2020-06,3,June,6,Wednesday,4
6/4/2020,20200604,2020,2020-Q2,2020-06,4,June,6,Thursday,5
6/5/2020,20200605,2020,2020-Q2,2020-06,5,June,6,Friday,6
6/6/2020,20200606,2020,2020-Q2,2020-06,6,June,6,Saturday,7
6/7/2020,20200607,2020,2020-Q2,2020-06,7,June,6,Sunday,1
6/8/2020,20200608,2020,2020-Q2,2020-06,8,June,6,Monday,2
6/9/2020,20200609,2020,2020-Q2,2020-06,9,June,6,Tuesday,3
6/10/2020,20200610,2020,2020-Q2,2020-06,10,June,6,Wednesday,4
6/11/2020,20200611,2020,2020-Q2,2020-06,11,June,6,Thursday,5
6/12/2020,20200612,2020,2020-Q2,2020-06,12,June,6,Friday,6
6/13/2020,20200613,2020,2020-Q2,2020-06,13,June,6,Saturday,7
6/14/2020,20200614,2020,2020-Q2,2020-06,14,June,6,Sunday,1
6/15/2020,20200615,2020,2020-Q2,2020-06,15,June,6,Monday,2
6/16/2020,20200616,2020,2020-Q2,2020-06,16,June,6,Tuesday,3
6/17/2020,20200617,2020,2020-Q2,2020-06,17,June,6,Wednesday,4
6/18/2020,20200618,2020,2020-Q2,2020-06,18,June,6,Thursday,5
6/19/2020,20200619,2020,2020-Q2,2020-06,19,June,6,Friday,6
6/20/2020,20200620,2020,2020-Q2,2020-06,20,June,6,Saturday,7
6/21/2020,20200621,2020,2020-Q2,2020-06,21,June,6,Sunday,1
6/22/2020,20200622,2020,2020-Q2,2020-06,22,June,6,Monday,2
6/23/2020,20200623,2020,2020-Q2,2020-06,23,June,6,Tuesday,3
6/24/2020,20200624,2020,2020-Q2,2020-06,24,June,6,Wednesday,4
6/25/2020,20200625,2020,2020-Q2,2020-06,25,June,6,Thursday,5
6/26/2020,20200626,2020,2020-Q2,2020-06,26,June,6,Friday,6
6/27/2020,20200627,2020,2020-Q2,2020-06,27,June,6,Saturday,7
6/28/2020,20200628,2020,2020-Q2,2020-06,28,June,6,Sunday,1
6/29/2020,20200629,2020,2020-Q2,2020-06,29,June,6,Monday,2
6/30/2020,20200630,2020,2020-Q2,2020-06,30,June,6,Tuesday,3
7/1/2020,20200701,2020,2020-Q3,2020-07,1,July,7,Wednesday,4
7/2/2020,20200702,2020,2020-Q3,2020-07,2,July,7,Thursday,5
7/3/2020,20200703,2020,2020-Q3,2020-07,3,July,7,Friday,6
7/4/2020,20200704,2020,2020-Q3,2020-07,4,July,7,Saturday,7
7/5/2020,20200705,2020,2020-Q3,2020-07,5,July,7,Sunday,1
7/6/2020,20200706,2020,2020-Q3,2020-07,6,July,7,Monday,2
7/7/2020,20200707,2020,2020-Q3,2020-07,7,July,7,Tuesday,3
7/8/2020,20200708,2020,2020-Q3,2020-07,8,July,7,Wednesday,4
7/9/2020,20200709,2020,2020-Q3,2020-07,9,July,7,Thursday,5
7/10/2020,20200710,2020,2020-Q3,2020-07,10,July,7,Friday,6
7/11/2020,20200711,2020,2020-Q3,2020-07,11,July,7,Saturday,7
7/12/2020,20200712,2020,2020-Q3,2020-07,12,July,7,Sunday,1
7/13/2020,20200713,2020,2020-Q3,2020-07,13,July,7,Monday,2
7/14/2020,20200714,2020,2020-Q3,2020-07,14,July,7,Tuesday,3
7/15/2020,20200715,2020,2020-Q3,2020-07,15,July,7,Wednesday,4
7/16/2020,20200716,2020,2020-Q3,2020-07,16,July,7,Thursday,5
7/17/2020,20200717,2020,2020-Q3,2020-07,17,July,7,Friday,6
7/18/2020,20200718,2020,2020-Q3,2020-07,18,July,7,Saturday,7
7/19/2020,20200719,2020,2020-Q3,2020-07,19,July,7,Sunday,1
7/20/2020,20200720,2020,2020-Q3,2020-07,20,July,7,Monday,2
7/21/2020,20200721,2020,2020-Q3,2020-07,21,July,7,Tuesday,3
7/22/2020,20200722,2020,2020-Q3,2020-07,22,July,7,Wednesday,4
7/23/2020,20200723,2020,2020-Q3,2020-07,23,July,7,Thursday,5
7/24/2020,20200724,2020,2020-Q3,2020-07,24,July,7,Friday,6
7/25/2020,20200725,2020,2020-Q3,2020-07,25,July,7,Saturday,7
7/26/2020,20200726,2020,2020-Q3,2020-07,26,July,7,Sunday,1
7/27/2020,20200727,2020,2020-Q3,2020-07,27,July,7,Monday,2
7/28/2020,20200728,2020,2020-Q3,2020-07,28,July,7,Tuesday,3
7/29/2020,20200729,2020,2020-Q3,2020-07,29,July,7,Wednesday,4
7/30/2020,20200730,2020,2020-Q3,2020-07,30,July,7,Thursday,5
7/31/2020,20200731,2020,2020-Q3,2020-07,31,July,7,Friday,6
8/1/2020,20200801,2020,2020-Q3,2020-08,1,August,8,Saturday,7
8/2/2020,20200802,2020,2020-Q3,2020-08,2,August,8,Sunday,1
8/3/2020,20200803,2020,2020-Q3,2020-08,3,August,8,Monday,2
8/4/2020,20200804,2020,2020-Q3,2020-08,4,August,8,Tuesday,3
8/5/2020,20200805,2020,2020-Q3,2020-08,5,August,8,Wednesday,4
8/6/2020,20200806,2020,2020-Q3,2020-08,6,August,8,Thursday,5
8/7/2020,20200807,2020,2020-Q3,2020-08,7,August,8,Friday,6
8/8/2020,20200808,2020,2020-Q3,2020-08,8,August,8,Saturday,7
8/9/2020,20200809,2020,2020-Q3,2020-08,9,August,8,Sunday,1
8/10/2020,20200810,2020,2020-Q3,2020-08,10,August,8,Monday,2
8/11/2020,20200811,2020,2020-Q3,2020-08,11,August,8,Tuesday,3
8/12/2020,20200812,2020,2020-Q3,2020-08,12,August,8,Wednesday,4
8/13/2020,20200813,2020,2020-Q3,2020-08,13,August,8,Thursday,5
8/14/2020,20200814,2020,2020-Q3,2020-08,14,August,8,Friday,6
8/15/2020,20200815,2020,2020-Q3,2020-08,15,August,8,Saturday,7
8/16/2020,20200816,2020,2020-Q3,2020-08,16,August,8,Sunday,1
8/17/2020,20200817,2020,2020-Q3,2020-08,17,August,8,Monday,2
8/18/2020,20200818,2020,2020-Q3,2020-08,18,August,8,Tuesday,3
8/19/2020,20200819,2020,2020-Q3,2020-08,19,August,8,Wednesday,4
8/20/2020,20200820,2020,2020-Q3,2020-08,20,August,8,Thursday,5
8/21/2020,20200821,2020,2020-Q3,2020-08,21,August,8,Friday,6
8/22/2020,20200822,2020,2020-Q3,2020-08,22,August,8,Saturday,7
8/23/2020,20200823,2020,2020-Q3,2020-08,23,August,8,Sunday,1
8/24/2020,20200824,2020,2020-Q3,2020-08,24,August,8,Monday,2
8/25/2020,20200825,2020,2020-Q3,2020-08,25,August,8,Tuesday,3
8/26/2020,20200826,2020,2020-Q3,2020-08,26,August,8,Wednesday,4
8/27/2020,20200827,2020,2020-Q3,2020-08,27,August,8,Thursday,5
8/28/2020,20200828,2020,2020-Q3,2020-08,28,August,8,Friday,6
8/29/2020,20200829,2020,2020-Q3,2020-08,29,August,8,Saturday,7
8/30/2020,20200830,2020,2020-Q3,2020-08,30,August,8,Sunday,1
8/31/2020,20200831,2020,2020-Q3,2020-08,31,August,8,Monday,2
9/1/2020,20200901,2020,2020-Q3,2020-09,1,September,9,Tuesday,3
9/2/2020,20200902,2020,2020-Q3,2020-09,2,September,9,Wednesday,4
9/3/2020,20200903,2020,2020-Q3,2020-09,3,September,9,Thursday,5
9/4/2020,20200904,2020,2020-Q3,2020-09,4,September,9,Friday,6
9/5/2020,20200905,2020,2020-Q3,2020-09,5,September,9,Saturday,7
9/6/2020,20200906,2020,2020-Q3,2020-09,6,September,9,Sunday,1
9/7/2020,20200907,2020,2020-Q3,2020-09,7,September,9,Monday,2
9/8/2020,20200908,2020,2020-Q3,2020-09,8,September,9,Tuesday,3
9/9/2020,20200909,2020,2020-Q3,2020-09,9,September,9,Wednesday,4
9/10/2020,20200910,2020,2020-Q3,2020-09,10,September,9,Thursday,5
9/11/2020,20200911,2020,2020-Q3,2020-09,11,September,9,Friday,6
9/12/2020,20200912,2020,2020-Q3,2020-09,12,September,9,Saturday,7
9/13/2020,20200913,2020,2020-Q3,2020-09,13,September,9,Sunday,1
9/14/2020,20200914,2020,2020-Q3,2020-09,14,September,9,Monday,2
9/15/2020,20200915,2020,2020-Q3,2020-09,15,September,9,Tuesday,3
9/16/2020,20200916,2020,2020-Q3,2020-09,16,September,9,Wednesday,4
